heading,link
Aspro Atlantic Medikal Turizm Ticaret Limited Şirketi t/a AsproMED,https://www.asa.org.uk/rulings/aspro-atlantic-medikal-turizm-ticaret-limited-irketi.html
We Love Holidays Ltd t/a LoveHolidays,https://www.asa.org.uk/rulings/we-love-holidays-ltd-g25-1286542-we-love-holidays-ltd.html
Tonic Nutrition Ltd t/a Tonic Health,https://www.asa.org.uk/rulings/tonic-nutrition-ltd-a24-1269415-tonic-nutrition-ltd.html
Trip Drink Ltd,https://www.asa.org.uk/rulings/trip-drink-ltd-a25-1277097-trip-drink-ltd.html
Detox Today,https://www.asa.org.uk/rulings/detox-today.html
MyFlowers Ltd t/a MyFlowers,https://www.asa.org.uk/rulings/myflowers-ltd-a25-1285210-myflowers-ltd.html
Nipper&Co Ltd t/a Nipper & Co,https://www.asa.org.uk/rulings/nipper-co-ltd-a25-1284063-nipper-co-ltd.html
PepsiCo International Ltd t/a Lipton Tea,https://www.asa.org.uk/rulings/pepsico-international-ltd-g25-1284970-pepsico-international-ltd.html
Good Guru Ltd t/a Protein World,https://www.asa.org.uk/rulings/good-guru-ltd-a25-1282503-good-guru-ltd.html
Kenvue UK Ltd t/a Listerine,https://www.asa.org.uk/rulings/kenvue-uk-ltd-g25-1285500-kenvue-uk-ltd.html
Mondelez UK Ltd t/a Cadbury,https://www.asa.org.uk/rulings/mondelez-europe-services-gmbh---uk-branch-a25-1276004-mondelez-uk-ltd.html
Wowcher Ltd,https://www.asa.org.uk/rulings/wowcher-ltd-a25-1282964-wowcher-ltd.html
Wowcher Ltd,https://www.asa.org.uk/rulings/wowcher-ltd-a25-1284837-wowcher-ltd.html
Bodystreet Franchise (UK) Ltd t/a Bodystreet,https://www.asa.org.uk/rulings/bodystreet-franchise--uk--ltd-a24-1271058-bodystreet-franchise--uk--ltd.html
SaffPro,https://www.asa.org.uk/rulings/saffpro.html
CLF Distribution Ltd,https://www.asa.org.uk/rulings/clf-distribution-ltd-a24-1271985-clf-distribution-ltd.html
Navi Organics Ltd,https://www.asa.org.uk/rulings/navi-organics-ltd-a24-1272405-navi-organics-ltd.html
LiveScore Betting & Gaming (Gibraltar) Ltd t/a LiveScore Bet,https://www.asa.org.uk/rulings/livescore-betting---gaming--gibraltar--ltd-a25-1274875-livescore-betting---gaming--gibraltar--ltd.html
Menwell Ltd t/a Manual,https://www.asa.org.uk/rulings/menwell-ltd-a25-1277445-menwell-ltd.html
AirDoctor LLC t/a AmazingAir,https://www.asa.org.uk/rulings/airdoctor-llc-a24-1273039-airdoctor-llc.html
SemaPen Ltd,https://www.asa.org.uk/rulings/semapen-ltd-a24-1264772-semapen-ltd.html
Yazen Health AB t/a Yazen,https://www.asa.org.uk/rulings/yazen-health-ab-g25-1278617-yazen-health-ab.html
Cosmos Oyun Yazilim Sanayi Ticaret Ltd Sirketi t/a Filter AI,https://www.asa.org.uk/rulings/cosmos-oyun-yazilim-sanayi-ticaret-ltd-sirketi.html
GTOHero Ltd t/a GTO Hero,https://www.asa.org.uk/rulings/gtohero-ltd-a25-1275239-gtohero-ltd.html
Good Guru Ltd t/a Protein World,https://www.asa.org.uk/rulings/good-guru-ltd-a25-1282503-good-guru-ltd.html
Kenvue UK Ltd t/a Listerine,https://www.asa.org.uk/rulings/kenvue-uk-ltd-g25-1285500-kenvue-uk-ltd.html
LEBOM Ltd,https://www.asa.org.uk/rulings/lebom-ltd-g25-1288328-lebom-ltd.html
Mondelez UK Ltd t/a Cadbury,https://www.asa.org.uk/rulings/mondelez-europe-services-gmbh---uk-branch-a25-1276004-mondelez-uk-ltd.html
Wowcher Ltd,https://www.asa.org.uk/rulings/wowcher-ltd-a25-1282964-wowcher-ltd.html
Wowcher Ltd,https://www.asa.org.uk/rulings/wowcher-ltd-a25-1284837-wowcher-ltd.html
Wuxi Zhan'ao E-commerce Co Ltd t/a Lpows.com,https://www.asa.org.uk/rulings/wuxi-zhan-ao-e-commerce-co-ltd-a25-1289901-wuxi-zhan-ao-e-commerce-co-ltd.html
Bodystreet Franchise (UK) Ltd t/a Bodystreet,https://www.asa.org.uk/rulings/bodystreet-franchise--uk--ltd-a24-1271058-bodystreet-franchise--uk--ltd.html
HOMA Games SAS,https://www.asa.org.uk/rulings/homa-games-sas-a25-1285213-homa-games-sas.html
Honeytech Ltd t/a Honeytoon,https://www.asa.org.uk/rulings/honeytech-ltd-g25-1287790-honeytech-ltd.html
SaffPro,https://www.asa.org.uk/rulings/saffpro.html
Koi Footwear Ltd,https://www.asa.org.uk/rulings/koi-footwear-ltd-a25-1286163-koi-footwear-ltd.html
CLF Distribution Ltd,https://www.asa.org.uk/rulings/clf-distribution-ltd-a24-1271985-clf-distribution-ltd.html
LC International Ltd t/a Ladbrokes,https://www.asa.org.uk/rulings/lc-international-ltd-g25-1274110-lc-international-ltd.html
Mars Wrigley Confectionery UK Ltd,https://www.asa.org.uk/rulings/mars-wrigley-confectionery-uk-ltd-g25-1285557-mars-wrigley-confectionery-uk-ltd.html
Navi Organics Ltd,https://www.asa.org.uk/rulings/navi-organics-ltd-a24-1272405-navi-organics-ltd.html
LiveScore Betting & Gaming (Gibraltar) Ltd t/a LiveScore Bet,https://www.asa.org.uk/rulings/livescore-betting---gaming--gibraltar--ltd-a25-1274875-livescore-betting---gaming--gibraltar--ltd.html
Menwell Ltd t/a Manual,https://www.asa.org.uk/rulings/menwell-ltd-a25-1277445-menwell-ltd.html
AirDoctor LLC t/a AmazingAir,https://www.asa.org.uk/rulings/airdoctor-llc-a24-1273039-airdoctor-llc.html
Turner Lewis Ltd,https://www.asa.org.uk/rulings/turner-lewis-ltd-a24-1270072-turner-lewis-ltd.html
UAB Convenity t/a Huusk,https://www.asa.org.uk/rulings/uab-convenity-a25-1281612-uab-convenity.html
Viva Research Ltd t/a Vivanmn,https://www.asa.org.uk/rulings/viva-research-ltd-a25-1279959-viva-research-ltd.html
air up GmbH,https://www.asa.org.uk/rulings/air-up-gmbh-a25-1281155-air-up-gmbh.html
GreenPixel Ltd t/a Hotel Merge Empire,https://www.asa.org.uk/rulings/greenpixel-ltd-a25-1279874-greenpixel-ltd.html
Insulet International Limited t/a Omnipod,https://www.asa.org.uk/rulings/insulet-international-limited-a24-1273006-insulet-international-limited.html
Phusion Projects LLC t/a FourLoko,https://www.asa.org.uk/rulings/phusion-projects-llc-a25-1280240-phusion-projects-llc.html
Vodafone Ltd t/a vodafone,https://www.asa.org.uk/rulings/vodafone-ltd-a24-1272001-vodafone-ltd.html
ZOE Ltd t/a Zoe,https://www.asa.org.uk/rulings/zoe-ltd-a24-1261050-zoe-ltd.html
Golden Vape UK Ltd t/a Golden Vape,https://www.asa.org.uk/rulings/golden-vape-uk-ltd-a24-1269900-golden-vape-uk-ltd.html
UK Electronic Cigarette Ltd t/a UKVAPINGSTORE,https://www.asa.org.uk/rulings/uk-electronic-cigarette-ltd-a24-1269901-uk-electronic-cigarette-ltd.html
Cloud Whale Interactive Technology,https://www.asa.org.uk/rulings/cloud-whale-interactive-technology-a25-1278753-cloud-whale-interactive-technology.html
Living and Home Ltd,https://www.asa.org.uk/rulings/living-and-home-ltd-a24-1270389-living-and-home-ltd.html
Rosenthal Capital Ltd t/a ULEZProsperity,https://www.asa.org.uk/rulings/rosenthal-capital-ltd-a24-1270983-rosenthal-capital-ltd.html
Whaleco UK Ltd t/a Temu,https://www.asa.org.uk/rulings/whaleco-uk-ltd-a25-1278825-whaleco-uk-ltd.html
Dualit Ltd,https://www.asa.org.uk/rulings/dualit-ltd-A24-1255954.html
Groupon International Ltd,https://www.asa.org.uk/rulings/groupon-international-ltd.html
Lavazza Coffee (UK) Ltd,https://www.asa.org.uk/rulings/lavazza-coffee-uk-ltd.html
ABD Supplies Ltd,https://www.asa.org.uk/rulings/abd-supplies-ltd-a25-1277053-abd-supplies-ltd.html
FX Compared Ltd t/a FXcompared,https://www.asa.org.uk/rulings/fx-compared-ltd.html
Holiday Gems Ltd,https://www.asa.org.uk/rulings/holiday-gems-ltd-a25-1273639-holiday-gems-ltd.html
2XU UK Limited,https://www.asa.org.uk/rulings/2xu-uk-limited-a24-1261881-2xu-pty-ltd.html
Beautyjenics Ltd,https://www.asa.org.uk/rulings/beautyjenics-ltd-a25-1274802-beautyjenics-ltd.html
Bomb Doll Aesthetics,https://www.asa.org.uk/rulings/bomb-doll-aesthetics-a25-1274784-bomb-doll-aesthetics.html
CCskinlondondubai,https://www.asa.org.uk/rulings/ccskinlondondubai-a25-1274786-ccskinlondondubai.html
Cambridge Corporate Consultants Ltd t/a The Claims Guide,https://www.asa.org.uk/rulings/cambridge-corporate-consultants-ltd-a24-1266364-cambridge-corporate-consultants-ltd.html
EME Aesthetics & Beauty Academy Ltd,https://www.asa.org.uk/rulings/eme-aesthetics---beauty-academy-ltd-a25-1274782-eme-aesthetics---beauty-academy-ltd.html
Global Brands Ltd t/a VK,https://www.asa.org.uk/rulings/global-brands-ltd-a25-1276576-global-brands-ltd.html
Groupe SEB UK Ltd t/a Tefal,https://www.asa.org.uk/rulings/groupe-seb-uk-ltd-a25-1278818-groupe-seb-uk-ltd.html
Montdog Ltd t/a Wild Pack,https://www.asa.org.uk/rulings/montdog-ltd-a24-1265514-montdog-ltd.html
NKD Medical Ltd t/a Dr Ducu London,https://www.asa.org.uk/rulings/nkd-medical-ltd-a25-1274785-nkd-medical-ltd.html
Pressplay Ltd,https://www.asa.org.uk/rulings/pressplay-ltd-a24-1266131-pressplay-ltd.html
Rejuvenate Academy Ltd t/a Rejuvenate Clinics,https://www.asa.org.uk/rulings/rejuvenate-academy-ltd-a25-1274788-rejuvenate-academy-ltd.html
The Innovative Brewing Company Ltd t/a Prime Time Lager,https://www.asa.org.uk/rulings/the-innovative-brewing-company-ltd-g24-1267427-the-innovative-brewing-company-ltd.html
Belle Baby Ltd,https://www.asa.org.uk/rulings/belle-baby-ltd-a25-1273764-belle-baby-ltd.html
Person(s) Unknown t/a Henry’s Boots,https://www.asa.org.uk/rulings/person-s--unknown-a24-1267935-person-s--unknown.html
Person(s) unknown t/a Rosely London,https://www.asa.org.uk/rulings/person-s--unknown-a24-1268786-person-s--unknown.html
Person(s) unknown t/a Velora London,https://www.asa.org.uk/rulings/person-s--unknown-g24-1269051-person-s--unknown.html
Person(s) unknown t/a Luxelle-London,https://www.asa.org.uk/rulings/person-s--unknown-a24-1269132-person-s--unknown.html
Person(s) unknown t/a Muse,https://www.asa.org.uk/rulings/person-s--unknown-g24-1265365-person-s--unknown.html
TotalEnergies SE,https://www.asa.org.uk/rulings/totalenergies-se-a24-1246357-totalenergies-se.html
Viagogo GmbH,https://www.asa.org.uk/rulings/viagogo-gmbh-a24-1242838-viagogo-gmbh.html
OceanSaver Ltd,https://www.asa.org.uk/rulings/oceansaver-ltd-g24-1266714-oceansaver-ltd.html
Rosenthal Capital Ltd t/a ULEZPROSPERITY,https://www.asa.org.uk/rulings/rosenthal-capital-ltd-a24-1263931-rosenthal-capital-ltd.html
A3 Games Pte Ltd t/a Top Girl,https://www.asa.org.uk/rulings/a3-games-pte-ltd.html
EE Ltd t/a EE,https://www.asa.org.uk/rulings/G24-1265502 EE Ltd.html
John Mills Ltd t/a JML Direct,https://www.asa.org.uk/rulings/G24-1272368 John Mills Ltd.html
Stars Interactive Ltd t/a PokerStars,https://www.asa.org.uk/rulings/stars-interactive-ltd-a24-1272809-stars-interactive-ltd.html
Bestway Retail Ltd t/a Bargain Booze,https://www.asa.org.uk/rulings/bestway-retail-ltd-a24-1271687-bestway-retail-ltd.html
Haven Leisure Ltd,https://www.asa.org.uk/rulings/haven-leisure-ltd-a24-1272713-haven-leisure-ltd.html
Dawn Hazeldine t/a Stockport Counselling Services,https://www.asa.org.uk/rulings/dawn-hazeldine-a24-1262170-stockport-counselling-services.html
Petchip.Network,https://www.asa.org.uk/rulings/petchip-network-a24-1270884-petchip-network.html
Shenzhenshi Senyi Dianzi Shangwu Youxiangongsi t/a Plum-Marketing,https://www.asa.org.uk/rulings/shenzhenshi-senyi-dianzi-shangwu-youxiangongsi-a24-1270842-shenzhenshi-senyi-dianzi-shangwu-youxiangongsi.html
Shop TJC Ltd t/a Ideal World,https://www.asa.org.uk/rulings/shop-tjc-ltd-a24-1255116-shop-tjc-ltd.html
Gemporia Ltd,https://www.asa.org.uk/rulings/gemporia-ltd-a24-1262624-gemporia-ltd.html
Maki Online Services Ltd,https://www.asa.org.uk/rulings/maki-online-services-ltd-a24-1270475-maki-online-services-ltd.html
EDF Energy Ltd,https://www.asa.org.uk/rulings/edf-energy-ltd-g24-1260840-edf-energy-ltd.html
Floor Design Ltd t/a Flooring by Nature,https://www.asa.org.uk/rulings/floor-design-ltd-a24-1253521-floor-design-ltd.html
Intelligent Lending Ltd t/a Ocean Finance,https://www.asa.org.uk/rulings/intelligent-lending-ltd-a24-1270898-intelligent-lending-ltd.html
Meggan Kirkland,https://www.asa.org.uk/rulings/meggan-kirkland-a24-1267937-meggan-kirkland.html
Secret Escapes Ltd,https://www.asa.org.uk/rulings/secret-escapes-ltd-a24-1258783-secret-escapes-ltd.html
Supplylife Group Ltd t/a SUPPLYlife,https://www.asa.org.uk/rulings/supplylife-group-ltd-a22-1174841-supplylife-group-ltd.html
Connect UK Sales Ltd,https://www.asa.org.uk/rulings/connect-uk-sales-ltd-a24-1256131-connect-uk-sales-ltd.html
Family Vision Ltd,https://www.asa.org.uk/rulings/family-vision-ltd-a24-1271798-family-vision-ltd.html
High Seat Ltd t/a HSL,https://www.asa.org.uk/rulings/high-seat-ltd-a24-1267477-high-seat-ltd.html
INSTITUTO NATURVITA S.L. t/a Natur Vital,https://www.asa.org.uk/rulings/instituto-naturvita-s-l--a24-1257402-instituto-naturvita-s-l-.html
Land Profits EDU Ltd t/a Land Profits,https://www.asa.org.uk/rulings/land-profits-edu-ltd-a24-1256132-land-profits-edu-ltd.html
Luxury Lodge Estates Company Ltd t/a Luxury Lodges,https://www.asa.org.uk/rulings/luxury-lodge-estates-company-ltd-a24-1256125-luxury-lodge-estates-company-ltd.html
Next Retail Ltd t/a NEXT,https://www.asa.org.uk/rulings/next-retail-ltd-a24-1261164-next-retail-ltd.html
SteadyPay Ltd,https://www.asa.org.uk/rulings/steadypay-ltd-a24-1268111-steadypay-ltd.html
Wilton Bradley Ltd t/a Xootz,https://www.asa.org.uk/rulings/wilton-bradley-ltd-a24-1266482-wilton-bradley-ltd.html
Astrasoft Projects Ltd t/a Sofiadate.com,https://www.asa.org.uk/rulings/astrasoft-projects-ltd-a24-1267015-astrasoft-projects-ltd.html
Banquist Ltd t/a Winedrops,https://www.asa.org.uk/rulings/banquist-ltd-g24-1266185-banquist-ltd.html
DragonPlus Game Ltd t/a Happy Hospital,https://www.asa.org.uk/rulings/dragonplus-game-ltd-a24-1268671-dragonplus-game-ltd.html
ScottishPower Energy Retail Ltd t/a Scottish Power,https://www.asa.org.uk/rulings/scottishpower-energy-retail-ltd-g24-1253901-scottishpower-energy-retail-ltd.html
Wireless Group Media (GB) Ltd t/a Virgin Radio,https://www.asa.org.uk/rulings/wireless-group-media--gb--ltd-a24-1257127-wireless-group-media--gb--ltd.html
Visual Stress Consultancy Ltd,https://www.asa.org.uk/rulings/visual-stress-consultancy-ltd-a24-1253433-visual-stress-consultancy-ltd.html
Health Line,https://www.asa.org.uk/rulings/health-line-a24-1253884-health-line.html
Royalux Competitions Ltd,https://www.asa.org.uk/rulings/royalux-competitions-ltd-a24-1255202-royalux-competitions-ltd.html
The Essence Vault Ltd,https://www.asa.org.uk/rulings/the-essence-vault-ltd-a24-1266056-the-essence-vault-ltd.html
Zimran Ltd t/a Prosperi Academy,https://www.asa.org.uk/rulings/zimran-ltd-a24-1265945-zimran-ltd.html
Endrick Clothing Ltd,https://www.asa.org.uk/rulings/endrick-clothing-ltd-g24-1264925-endrick-clothing-ltd.html
Marren Healthcare Ltd,https://www.asa.org.uk/rulings/marren-healthcare-ltd-a24-1252137-marren-healthcare-ltd.html
"Vacaciones eDreams, S.L. t/a eDreams",https://www.asa.org.uk/rulings/vacaciones-edreams--s-l--a24-1254018-vacaciones-edreams-sl.html
Wahed Invest Ltd,https://www.asa.org.uk/rulings/wahed-invest-ltd-g24-1262171-wahed-invest-ltd.html
Action Rehab,https://www.asa.org.uk/rulings/action-rehab-a24-1252142-action-rehab.html
Addiction Recovery Systems Ltd t/a Rehab Guide,https://www.asa.org.uk/rulings/addiction-recovery-systems-ltd-a24-1252122-addiction-recovery-systems-ltd.html
Auto Finesse Ltd,https://www.asa.org.uk/rulings/auto-finesse-ltd-a24-1263473-auto-finesse-ltd.html
Beer52 Ltd,https://www.asa.org.uk/rulings/beer52-ltd-a24-1251988-beer52-ltd.html
Better Health and Wellness,https://www.asa.org.uk/rulings/better-health-and-wellness-a24-1253883-better-health-and-wellness.html
Health and Wellness,https://www.asa.org.uk/rulings/health-and-wellness-a24-1253882-health-and-wellness.html
Help 4 Addiction Ltd,https://www.asa.org.uk/rulings/help-4-addiction-ltd-a24-1252124-help-4-addiction-ltd.html
IT Career Change Ltd,https://www.asa.org.uk/rulings/it-career-change-ltd-a24-1258686-it-career-change-ltd.html
Marketing VF Ltd t/a The Eco Experts,https://www.asa.org.uk/rulings/marketing-vf-ltd-a24-1253881-marketing-vf-ltd.html
Oakever Games PTE Ltd,https://www.asa.org.uk/rulings/oakever-games-pte-ltd-g24-1257433-oakever-games-pte-ltd.html
Origin Sleep UK Ltd t/a Origin Mattress,https://www.asa.org.uk/rulings/origin-sleep-uk-ltd-a24-1253221-origin-sleep-uk-ltd.html
Person(s) unknown t/a Sereni,https://www.asa.org.uk/rulings/person-s--unknown-a24-1253128-sereni.html
Rehabs.uk,https://www.asa.org.uk/rulings/rehabs-uk-a24-1252129-rehabs-uk.html
Serenity Rehabilitation Ltd t/a Serenity Addiction Centres,https://www.asa.org.uk/rulings/serenity-rehabilitation-ltd-a24-1252074-serenity-rehabilitation-ltd.html
UK Addiction Treatment Ltd t/a UKAT,https://www.asa.org.uk/rulings/uk-addiction-treatment-ltd-a24-1252013-uk-addiction-treatment-ltd.html
Valterous Ltd t/a Therapie Clinic,https://www.asa.org.uk/rulings/valterous-ltd-g24-1253503-valterous-ltd.html
Vivostore Ltd t/a Vivo Life,https://www.asa.org.uk/rulings/vivostore-ltd-a24-1253730-vivostore-ltd.html
Which Rehab Ltd,https://www.asa.org.uk/rulings/which-rehab-ltd-a24-1252126-which-rehab-ltd.html
Alchemy Bros Ltd t/a Energy Grant Access,https://www.asa.org.uk/rulings/alchemy-bros-ltd-a24-1252491-alchemy-bros-ltd.html
ECO4U LTD,https://www.asa.org.uk/rulings/eco4u-ltd-a24-1252489-eco4u-ltd.html
Guangzhou Shimo Culture Media Co Ltd,https://www.asa.org.uk/rulings/guangzhou-shimo-culture-media-co-ltd-g24-1262172-guangzhou-shimo-culture-media-co-ltd.html
Ignite Sustainable Energy Ltd t/a ignitese.co.uk,https://www.asa.org.uk/rulings/ignite-sustainable-energy-ltd-a24-1252405-ignite-sustainable-energy-ltd.html
Impact Energy Ltd,https://www.asa.org.uk/rulings/impact-energy-ltd-a24-1252475-impact-energy-ltd.html
Jaded London Ltd,https://www.asa.org.uk/rulings/jaded-london-ltd-a24-1262531-jaded-london-ltd.html
Lead Pronto Ltd t/a LeadPronto,https://www.asa.org.uk/rulings/lead-pronto-ltd-a24-1252418-lead-pronto-ltd.html
Metamind AI Ltd t/a AI Persona,https://www.asa.org.uk/rulings/metamind-ai-ltd-a24-1251099-metamind-ai-ltd.html
Ovira Australia t/a Ovira UK,https://www.asa.org.uk/rulings/ovira-australia-g24-1252527-ovira-australia.html
Pulsio Ltd,https://www.asa.org.uk/rulings/pulsio-ltd-a24-1262766-pulsio-ltd.html
