heading,link
ProgressPlay Ltd,https://www.asa.org.uk/rulings/progressplay-ltd-a23-1223286-progressplay-ltd.html
Tecnología Sostenible y Responsable SL (TSR) t/a Sustainable and Responsible Technology SL,https://www.asa.org.uk/rulings/tecnologia-sostenible-y-responsable-sl--tsr--a23-1207275-tecnologia-sostenible-y-responsable-sl.html
Independent British Vape Trade Association t/a IBVTA,https://www.asa.org.uk/rulings/independent-british-vape-trade-association-a23-1219004-independent-british-vape-trade-association.html
Lark Holdings Limited,https://www.asa.org.uk/rulings/lark-holdings-limited-a23-1221983-lark-holdings-limited.html
"Whitbread Group plc t/a Premier Inn,  Beefeater",https://www.asa.org.uk/rulings/whitbread-group-plc-a23-1219722-whitbread-group-plc.html
Dr Bunny Aesthetics,https://www.asa.org.uk/rulings/dr-bunny-aesthetics-a23-1218983-dr-bunny-aesthetics.html
"GKOnlineCo Pty Ltd t/a Pups Den, Official Aida Store",https://www.asa.org.uk/rulings/gkonlineco-pty-ltd-a24-1229857-gkonlineco-pty-ltd.html
infirst Ltd t/a Flarin,https://www.asa.org.uk/rulings/infirst-ltd-a23-1217846-infirst-ltd.html
Hismile Pty Ltd,https://www.asa.org.uk/rulings/hismile-pty-ltd-a23-1221382-hismile-pty-ltd.html
John Mills Ltd t/a JML Direct,https://www.asa.org.uk/rulings/john-mills-ltd-a23-1221685-john-mills-ltd.html
Mous Products Ltd,https://www.asa.org.uk/rulings/mous-products-ltd-a23-1216884-mous-products-ltd.html
Nationwide Building Society t/a Nationwide,https://www.asa.org.uk/rulings/nationwide-building-society-g23-1216642-nationwide-building-society.html
Not Guilty Food Co Ltd t/a The Skinny Food Co,https://www.asa.org.uk/rulings/not-guilty-food-co-ltd-g23-1215538-not-guilty-food-co-ltd.html
Sparks Information PTE Ltd t/a Hunting Sniper,https://www.asa.org.uk/rulings/sparks-information-pte-ltd-g24-1229784-sparks-information-pte-ltd.html
Top Games Inc,https://www.asa.org.uk/rulings/top-games-inc-a23-1213924-top-games-inc.html
Easigrass (Distribution) Ltd,https://www.asa.org.uk/rulings/easigrass--distribution--ltd-g23-1215528-easigrass--distribution--ltd.html
John Mills Ltd t/a JML Direct,https://www.asa.org.uk/rulings/john-mills-ltd-a24-1228444-john-mills-ltd.html
Vytaliving Ltd,https://www.asa.org.uk/rulings/vytaliving-ltd-a23-1216841-vytaliving-ltd.html
Aldi Stores Ltd t/a Aldi,https://www.asa.org.uk/rulings/aldi-stores-ltd-a23-1226863-aldi-stores-ltd.html
Electronic Arts Ltd t/a EA,https://www.asa.org.uk/rulings/electronic-arts-ltd-a23-1222185-electronic-arts-ltd.html
Jagex Ltd,https://www.asa.org.uk/rulings/jagex-ltd-a23-1216471-jagex-ltd.html
Lindar Media Ltd t/a MRQ.com,https://www.asa.org.uk/rulings/lindar-media-ltd-a23-1226999-lindar-media-ltd.html
MNG-Mango UK Ltd,https://www.asa.org.uk/rulings/mng-mango-uk-ltd-a23-1227360-mng-mango-uk-ltd.html
Miniclip (UK) Ltd,https://www.asa.org.uk/rulings/miniclip--uk--ltd-a23-1216455-miniclip--uk--ltd.html
Worldwide Trademarks sro t/a Worldwide Trademarks,https://www.asa.org.uk/rulings/worldwide-trademarks-sro-a23-1222525-worldwide-trademarks-sro.html
Global Brands Ltd,https://www.asa.org.uk/rulings/global-brands-ltd-a23-1215641-global-brands-ltd.html
LeoVegas Gaming plc t/a BetUK,https://www.asa.org.uk/rulings/leovegas-gaming-plc-a23-1214325-leovegas-gaming-plc.html
6G Internet Ltd t/a 6Gi,https://www.asa.org.uk/rulings/6g-internet-ltd-a23-1213406-6g-internet-ltd.html
BPerfect Ltd,https://www.asa.org.uk/rulings/bperfect-ltd-a23-1218364-bperfect-ltd.html
"Banquist Ltd t/a Banquist, Winedrops",https://www.asa.org.uk/rulings/banquist-ltd-a24-1228136-banquist-ltd.html
OneCompress,https://www.asa.org.uk/rulings/onecompress-a23-1220254-onecompress.html
Simba Sleep Ltd,https://www.asa.org.uk/rulings/simba-sleep-ltd-a23-1200296-simba-sleep-ltd.html
Vir Health Ltd t/a Numan,https://www.asa.org.uk/rulings/vir-health-ltd-a22-1178070-vir-health-ltd.html
Volkswagen Group United Kingdom Ltd t/a Audi,https://www.asa.org.uk/rulings/volkswagen-group-united-kingdom-ltd-a23-1195221-volkswagen-group-united-kingdom-ltd.html
Brown-Forman Beverages Europe Ltd t/a Jack Daniel's,https://www.asa.org.uk/rulings/brown-forman-beverages-europe-ltd-a23-1223370-brown-forman-beverages-europe-ltd.html
Capital Credit Union Ltd,https://www.asa.org.uk/rulings/capital-credit-union-ltd-a23-1224909-capital-credit-union-ltd.html
Lenovo Technology (UK) Ltd,https://www.asa.org.uk/rulings/lenovo-technology--uk--ltd-a23-1214667-lenovo-technology--uk--ltd.html
Pennine Community Credit Union Ltd t/a PCCU,https://www.asa.org.uk/rulings/pennine-community-credit-union-ltd-a23-1224906-pennine-community-credit-union-ltd.html
Space NK Ltd t/a Space.NK,https://www.asa.org.uk/rulings/space-nk-ltd-a23-1212632-space-nk-ltd.html
Strafe Esports Ltd t/a LevelTap,https://www.asa.org.uk/rulings/strafe-esports-ltd-g23-1225361-strafe-esports-ltd.html
GMRD Apps Ltd t/a Impulse Brain Training,https://www.asa.org.uk/rulings/gmrd-apps-ltd-a23-1215012-gmrd-apps-ltd.html
Happyo,https://www.asa.org.uk/rulings/happyo-a23-1215015-happyo.html
Rebecca Louise t/a rebeccalouise95,https://www.asa.org.uk/rulings/rebecca-louise-g23-1219454-rebecca-louise.html
Supreme CBD Ltd t/a Supreme CBD,https://www.asa.org.uk/rulings/supreme-cbd-ltd-g23-1198642-supreme-cbd-ltd.html
BKUK Group Ltd t/a Burger King,https://www.asa.org.uk/rulings/bkuk-group-ltd-a23-1210912-bkuk-group-ltd.html
BMW (UK) Ltd,https://www.asa.org.uk/rulings/bmw--uk--ltd-a23-1209400-bmw--uk--ltd.html
Greater London Authority,https://www.asa.org.uk/rulings/greater-london-authority-g23-1202588-greater-london-authority.html
MG Motor UK Ltd,https://www.asa.org.uk/rulings/mg-motor-uk-ltd-a23-1209401-mg-motor-uk-ltd.html
Vizor Apps Ltd,https://www.asa.org.uk/rulings/vizor-apps-ltd-a23-1221098-vizor-apps-ltd.html
Witcombe Festival,https://www.asa.org.uk/rulings/witcombe-festival-a23-1211731-witcombe-festival.html
Brooksdale Ltd,https://www.asa.org.uk/rulings/brooksdale-ltd-a23-1196058-brooksdale-ltd.html
Churchill Retirement Living Ltd t/a Churchill Retirement Living,https://www.asa.org.uk/rulings/churchill-retirement-living-ltd-a23-1192106-churchill-retirement-living-ltd.html
LifeSafe Technologies Ltd,https://www.asa.org.uk/rulings/lifesafe-technologies-ltd-g23-1212656-lifesafe-technologies-ltd.html
Lynne McTaggart,https://www.asa.org.uk/rulings/lynne-mctaggart-a23-1193512-lynne-mctaggart.html
Reclaim My PPI Tax Ltd t/a Reclaim My PPI Tax,https://www.asa.org.uk/rulings/reclaim-my-ppi-tax-ltd-a23-1196059-reclaim-my-ppi-tax-ltd.html
Team RH Fitness Ltd,https://www.asa.org.uk/rulings/team-rh-fitness-ltd-g23-1217041-team-rh-fitness-ltd.html
AGA Rangemaster Ltd t/a AGA,https://www.asa.org.uk/rulings/aga-rangemaster-ltd-a23-1203542-aga-rangemaster-ltd.html
Gamehaus Network Technology Co Ltd,https://www.asa.org.uk/rulings/gamehaus-network-technology-co-ltd-a23-1218813-gamehaus-network-technology-co-ltd.html
Grandbing Technology Co Ltd t/a On Fancy,https://www.asa.org.uk/rulings/grandbing-technology-co-ltd-a23-1219254-grandbing-technology-co-ltd.html
HJ Heinz Foods UK Ltd t/a Heinz,https://www.asa.org.uk/rulings/hj-heinz-foods-uk-ltd-a23-1207671-hj-heinz-foods-uk-ltd.html
May Health Tourism Services t/a MAYCLINIK,https://www.asa.org.uk/rulings/may-health-tourism-services-a23-1211989-may-health-tourism-services.html
Medi Supplies Ltd,https://www.asa.org.uk/rulings/medi-supplies-ltd-18969.html
Outsourceful Ltd t/a Outsourceful,https://www.asa.org.uk/rulings/outsourceful-ltd-a23-1208780-outsourceful-ltd.html
Pasifik Health Services Inc t/a Care In Turkey,https://www.asa.org.uk/rulings/pasifik-health-services-inc-a23-1211995-pasifik-health-services-inc.html
E-Scooters 4 Less (unconfirmed) t/a E-Scooters 4 Less,https://www.asa.org.uk/rulings/e-scooters-4-less--unconfirmed--a23-1207531-e-scooters-4-less--unconfirmed-.html
FunPlus International AG t/a Funplus,https://www.asa.org.uk/rulings/funplus-international-ag-a23-1215767-funplus-international-ag.html
Marble Corporation Ltd t/a The Little Ones,https://www.asa.org.uk/rulings/marble-corporation-ltd-a23-1217662-marble-corporation-ltd.html
GIRLvsCANCER,https://www.asa.org.uk/rulings/girlvscancer-g23-1218376-girlvscancer.html
Happytiger ApS,https://www.asa.org.uk/rulings/happytiger-aps-a23-1218378-happytiger-aps.html
Planet Computers Ltd,https://www.asa.org.uk/rulings/planet-computers-ltd-a23-1208206-planet-computers-ltd.html
Viagogo AG,https://www.asa.org.uk/rulings/viagogo-ag-a23-1205905-viagogo-ag.html
Zzoomm plc,https://www.asa.org.uk/rulings/zzoomm-plc-a23-1206061-zzoomm-plc.html
Buzz Group Ltd,https://www.asa.org.uk/rulings/buzz-group-ltd-a23-1217474-buzz-group-ltd.html
Em Rose,https://www.asa.org.uk/rulings/em-rose-g23-1212743-em-rose.html
Erdem Clinic,https://www.asa.org.uk/rulings/erdem-clinic-a23-1209226-erdem-clinic.html
Eurostar International Ltd,https://www.asa.org.uk/rulings/eurostar-international-ltd-a23-1205614-eurostar-international-ltd.html
Ben's Gutters Ltd,https://www.asa.org.uk/rulings/ben-s-gutters-ltd-g23-1202318-ben-s-gutters-ltd.html
BrewDog plc,https://www.asa.org.uk/rulings/brewdog-plc-g23-1210353-brewdog-plc.html
Cathay Pacific Airways Ltd,https://www.asa.org.uk/rulings/cathay-pacific-airways-ltd-a23-1206687-cathay-pacific-airways-ltd.html
Charles Tyrwhitt Shirts Ltd,https://www.asa.org.uk/rulings/charles-tyrwhitt-shirts-ltd-a23-1210029-charles-tyrwhitt-shirts-ltd.html
Coty UK Ltd t/a Coty UK Ltd,https://www.asa.org.uk/rulings/coty-uk-ltd-g23-1213377-coty-uk-ltd.html
EFL Digital Ltd t/a EFL,https://www.asa.org.uk/rulings/efl-digital-ltd-a22-1172914-efl-digital-ltd.html
Equinor ASA,https://www.asa.org.uk/rulings/equinor-asa-a23-1204534-equinor-asa.html
GMG Pharmacy Ltd t/a The IV Clinic,https://www.asa.org.uk/rulings/gmg-pharmacy-ltd-a19-549495-gmg-pharmacy-ltd.html
Get A Drip Ltd,https://www.asa.org.uk/rulings/get-a-drip-ltd-a19-549582-get-a-drip-ltd.html
Howe Tools Ltd,https://www.asa.org.uk/rulings/howe-tools-ltd-g23-1215545-howe-tools-ltd.html
Kellogg Europe Trading Ltd t/a Kellogg Company,https://www.asa.org.uk/rulings/kellogg-europe-trading-ltd-a23-1206282-kellogg-europe-trading-ltd.html
Kia UK Ltd,https://www.asa.org.uk/rulings/kia-uk-ltd-a23-1190884-kia-uk-ltd.html
"Mercedes-Benz UK Ltd t/a Smart Car, Mercedes Benz",https://www.asa.org.uk/rulings/mercedes-benz-uk-ltd-a23-1202889-mercedes-benz-cars-uk-ltd.html
Petfre (Gibraltar) Ltd t/a Betfred,https://www.asa.org.uk/rulings/petfre--gibraltar--ltd-a23-1194957-petfre--gibraltar--ltd.html
REVIV UK Ltd t/a REVIV,https://www.asa.org.uk/rulings/reviv-uk-ltd-a19-562605-reviv-uk-ltd.html
Golden Tanning Salon Ltd t/a Golden Tanning Salon,https://www.asa.org.uk/rulings/golden-tanning-salon-ltd-a23-1198240-golden-tanning-salon.html
Person(s) unknown,https://www.asa.org.uk/rulings/person-s--unknown-a23-1198241-person-s--unknown.html
Virgin Media Ltd t/a Virgin Media,https://www.asa.org.uk/rulings/virgin-media-ltd-a23-1206573-virgin-media-ltd.html
Air France-KLM,https://www.asa.org.uk/rulings/air-france-klm-a23-1206006-air-france-klm.html
Deutsche Lufthansa AG t/a Lufthansa,https://www.asa.org.uk/rulings/deutsche-lufthansa-ag-a23-1206007-deutsche-lufthansa-ag.html
Etihad Airways,https://www.asa.org.uk/rulings/etihad-airways-a23-1206008-etihad-airways.html
GetAgent Ltd,https://www.asa.org.uk/rulings/getagent-ltd-a23-1202342-getagent-ltd.html
Polyverse Inc,https://www.asa.org.uk/rulings/polyverse-inc-a23-1212046-polyverse-inc.html
South African Foods Ltd t/a Candy Store 4 You,https://www.asa.org.uk/rulings/south-african-foods-ltd-a23-1202159-south-african-foods-ltd.html
Imiracle (HK) Ltd t/a ELFBAR,https://www.asa.org.uk/rulings/imiracle--hk--ltd-g23-1208624-imiracle--hk--ltd.html
Merlin Attractions Operations Ltd t/a Alton Towers Resort,https://www.asa.org.uk/rulings/merlin-attractions-operations-ltd-a23-1204144-merlin-attractions-operations-ltd.html
Play&Date Entertainment Zone,https://www.asa.org.uk/rulings/play-date-entertainment-zone-a23-1212049-playdate-entertainment-zone.html
Procter & Gamble UK t/a Always,https://www.asa.org.uk/rulings/procter---gamble-uk-a23-1206176-procter--gamble-uk.html
"Renault UK Ltd t/a Dacia, Renault",https://www.asa.org.uk/rulings/renault-uk-ltd-a23-1201059-renault-uk-ltd.html
ACME Vape Ltd,https://www.asa.org.uk/rulings/acme-vape-ltd-a23-1205199-acme-vape-ltd.html
Cloud City Vapez UK Ltd,https://www.asa.org.uk/rulings/cloud-city-vapez-uk-ltd-a23-1205196-cloud-city-vapez-uk-ltd.html
CrypticKits,https://www.asa.org.uk/rulings/cryptickits-g23-1200829-cryptickits.html
D&A Cosmetics Ltd,https://www.asa.org.uk/rulings/d-a-cosmetics-ltd-g23-1201871-da-cosmetics-ltd.html
Kollo Health Ltd,https://www.asa.org.uk/rulings/kollo-health-ltd-a23-1196136-kollo-health-ltd.html
Organic Burst World SA t/a Organic Burst,https://www.asa.org.uk/rulings/organic-burst-world-sa-a23-1191380-organic-burst-world-s-a-.html
Toyota (GB) plc,https://www.asa.org.uk/rulings/toyota--gb--plc-a23-1191673-toyota--gb--plc.html
Uppholdings Ltd t/a CluedUpp Games,https://www.asa.org.uk/rulings/uppholdings-ltd-a23-1200152-uppholdings-ltd.html
Borthwick Group (Energy) Ltd,https://www.asa.org.uk/rulings/borthwick-group--energy--ltd-a23-1201322-borthwick-group--energy--ltd.html
FanCraze Technologies Inc,https://www.asa.org.uk/rulings/fancraze-technologies-inc-a23-1199796-fancraze-technologies-inc.html
GM Unicorn Corporation Ltd,https://www.asa.org.uk/rulings/gm-unicorn-corporation-ltd-A22-1180376.html
Harvey Water Softeners Ltd,https://www.asa.org.uk/rulings/harvey-water-softeners-ltd-a23-1199615-harvey-water-softeners-ltd.html
Mecca Bingo Ltd,https://www.asa.org.uk/rulings/mecca-bingo-ltd-g23-1210375-mecca-bingo-ltd.html
Naked Wolfe Ltd,https://www.asa.org.uk/rulings/naked-wolfe-ltd-G23-1212005.html
Nimaya Mindstation Ltd,https://www.asa.org.uk/rulings/nimaya-mindstation-ltd-A23-1199223.html
Norfolk Dinosaur Park Ltd t/a PrimEvil,https://www.asa.org.uk/rulings/norfolk-dinosaur-park-ltd-g23-1213263-norfolk-dinosaur-park-ltd.html
SpiderfarmerLED,https://www.asa.org.uk/rulings/spiderfarmerled-a23-1209504-spiderfarmerled.html
Studiocanal Ltd t/a Studiocanal,https://www.asa.org.uk/rulings/studiocanal-ltd-g23-1195126-studiocanal-ltd.html
TMS Legal Ltd,https://www.asa.org.uk/rulings/tms-legal-ltd-A23-1199376.html
The Heal Air,https://www.asa.org.uk/rulings/the-heal-air-A23-1199221.html
WHM Hair Transplant and Aesthetics t/a WHM Clinic,https://www.asa.org.uk/rulings/whm-hair-transplant-and-aesthetics-a23-1199871-whm-hair-transplant-and-aesthetics.html
ZING Oral Care Ltd,https://www.asa.org.uk/rulings/zing-oral-care-ltd-a23-1199892-zing-oral-care-ltd.html
Emma Matratzen GmbH t/a Emma Mattress,https://www.asa.org.uk/rulings/emma-matratzen-gmbh-g23-1199782-emma-matratzen-gmbh.html
Geekvape Electronic Cigarettes (UK) Ltd,https://www.asa.org.uk/rulings/geekvape-electronic-cigarettes--uk--ltd-a23-1205195-geekvape-electronic-cigarettes--uk--ltd.html
Indiralaxmi Vignesh Ltd t/a Hale Clinic,https://www.asa.org.uk/rulings/indiralaxmi-vignesh-ltd-a23-1199222-indiralaxmi-vignesh-ltd.html
NUMA Ltd,https://www.asa.org.uk/rulings/numa-ltd-a23-1199218-numa-limited.html
TJC & BLC Aesthetics Clinic & Training Academy,https://www.asa.org.uk/rulings/tjc---blc-aesthetics-clinic---training-academy-a23-1198894-tjc--blc-aesthetics-clinic-training-academy.html
Vaporesso,https://www.asa.org.uk/rulings/vaporesso-a23-1205197-vaporesso.html
Voopoo International Inc,https://www.asa.org.uk/rulings/voopoo-international-inc-a23-1205198-voopoo-international-inc.html
Chengyi Daily Department Store t/a Shop1102829235 Store,https://www.asa.org.uk/rulings/chengyi-daily-department-store-a23-1207923-chengyi-daily-department-store.html
Daniels Vapes t/a danielsvapes1,https://www.asa.org.uk/rulings/daniels-vapes-a23-1207692-daniels-vapes.html
Dr Rani Ltd t/a Daily Chemist,https://www.asa.org.uk/rulings/dr-rani-ltd-a23-1198508-dr-rani-ltd.html
Essential Sounds Hearing,https://www.asa.org.uk/rulings/essential-sounds-hearing-a23-1197770-esh-hearing.html
Petfre (Gibraltar) Ltd t/a Betfred,https://www.asa.org.uk/rulings/petfre--gibraltar--ltd-a23-1197806-petfre--gibraltar--ltd.html
Shenzhen Guangming District Kangshuo E-Commerce Firm t/a Health Support Store,https://www.asa.org.uk/rulings/shenzhen-guangming-district-kangshuo-e-commerce-firm-a23-1207922-shenzhen-guangming-district-kangshuo-e-commerce-firm.html
THG Nutrition Limited t/a My Protein,https://www.asa.org.uk/rulings/thg-nutrition-limited-a23-1198333-thg-nutrition-limited.html
TheGreatEvape Ltd,https://www.asa.org.uk/rulings/thegreatevape-ltd-a23-1207694-thegreatevape-ltd.html
Whaleco UK Ltd t/a Temu,https://www.asa.org.uk/rulings/whaleco-uk-ltd-g23-1202845-whaleco-uk-ltd.html
Hurtigruten UK Ltd t/a Hurtigruten,https://www.asa.org.uk/rulings/hurtigruten-uk-ltd-a23-1202064-hurtigruten-ltd.html
Royal Caribbean Cruises Ltd t/a Royal Caribbean International,https://www.asa.org.uk/rulings/royal-caribbean-cruises-ltd-a23-1198946-royal-caribbean-cruises-ltd.html
Bonne Terre Ltd t/a Sky Bet,https://www.asa.org.uk/rulings/bonne-terre-ltd-a23-1189938-bonne-terre-ltd.html
Codeway Dijital Hizmetler Anonim Sirketi t/a Codeway,https://www.asa.org.uk/rulings/codeway-dijital-hizmetler-anonim-sirketi-a23-1197999-codeway-dijital-hizmetler-anonim-sirketi.html
HMK V AG t/a Windsor Mint,https://www.asa.org.uk/rulings/hmk-v-ag-a22-1178286-hmk-v-ag-1.html
Imiracle (HK) Ltd t/a Elfbar,https://www.asa.org.uk/rulings/imiracle--hk--ltd-a23-1196835-imiracle--hk--ltd.html
Nexusbird Inc t/a Motion,https://www.asa.org.uk/rulings/nexusbird-inc-a23-1197735-nexusbird-inc.html
Nissan Motor (GB) Ltd t/a Nissan Motor (GB) Ltd,https://www.asa.org.uk/rulings/nissan-motor--gb--ltd-g23-1206694-nissan-motor--gb--ltd.html
Repsol SA,https://www.asa.org.uk/rulings/repsol-sa-a23-1206254-repsol-sa.html
"Shop TJC Ltd t/a TJC, The Jewellery Channel Ltd",https://www.asa.org.uk/rulings/shop-tjc-ltd-a23-1196566-shop-tjc-ltd.html
ThruDark Ltd,https://www.asa.org.uk/rulings/thrudark-ltd-g23-1206049-thrudark-ltd.html
